제목,내용,기사 URL,단어 5가지
"[줌인] 뉴진스 다니엘, ‘인어공주’ 목소리 연기에 쏟아지는 비난..왜?","그룹 뉴진스 멤버 다니엘이 '인어공주' 에리얼 한국어 더빙을 맡는 것을 놓고 영화 공개 전부터 다양한 말들이 쏟아지고 있다. 사진=월트디즈니컴퍼니 코리아, IS포토그룹 뉴진스 멤버 다니엘이 디즈니 라이브 액션 영화 ‘인어공주’ 주인공 에리얼 한국어 더빙을 맡는다. 다니엘로선 첫 더빙 도전이지만, 벌써부터 ‘인어공주’를 둘러싼 논란에 한 획을 더하고 있어 안타까움을 자아낸다.3일 영화계에 따르면 다니엘은 이달 중순께 개봉하는 영화 ‘인어공주’(감독 롭 마샬)의 주인공 에리얼 한국어 더빙을 맡아 처음으로 더빙 연기에 도전한다. ‘인어공주’는 늘 바다 너머의 세상을 꿈꾸던 모험심 가득한 인어공주 에리얼(할리 베일리 분)이 조난당한 에릭 왕자(조나 하우어 킹)를 구해주며 자신의 마음의 소리를 따라 금지된 인간 세상으로 나아가는 모험을 그린 영화. 1989년 제작돼 세계적인 화제를 모은 동명 애니메이션을 실사 뮤지컬 영화로 만들었다.앞서 월트디즈니컴퍼니 코리아는 ‘인어공주’ 한국어 더빙으로, 배우 정영주가 바다를 지배하려는 바다 마녀 울슐라 역을, 정상훈이 왕실 오케스트라 지휘자인 바닷가재 세바스찬 역을 맡는다고 밝혔다. 다만 주인공 에리얼 역 캐스팅은 실루엣만 공개하며 물음표 속 인물을 맞히는 이벤트를 공지했다. 또한 유출된 영상에서 에리얼 목소리를 연기한 한국 아티스트의 대사와 그가 에리얼 테마곡 ‘파트 오브 유어 월드’(Part of Your World)를 부른 모습 일부가 공개돼 궁금증을 유발시켰다.취재 결과 다니엘은 한국의 에리얼을 맡아달라는 디즈니의 요청을 받고 고심 끝에 수락, 첫 연기 도전에 나섰다는 후문이다. 디즈니는 다니엘이 한국과 호주 이중국적자로 한국어와 영어에 능통한데다, 어릴 적부터 다양한 방송 활동과 노래 실력까지 겸비하고 있고 뉴진스로 1020세대에 높은 인기를 얻고 있어서, 에리얼 한국어 더빙에 적역이라고 판단한 것으로 전해졌다.하지만 아직 다니엘이 에리얼을 맡았다는 사실을 공표하기 전부터, 의외의 역풍이 불고 있다. 정영주는 ‘맘마마아’ ‘오페라의 유령’ 등 뮤지컬에서 일찍이 뛰어난 가창력과 연기력을 인정받았던 데다 정상훈도 영화와 드라마, 뮤지컬 등에서 쌓아온 실력으로 충분히 더빙을 맡을 만하다는 평을 받고 있는 반면, 다니엘에 대해선 벌써부터 우려의 목소리가 나오고 있는 것. 아직 다니엘이 목소리 연기를 한 일부 영상을 보고 한국어 발음과 노래 실력 등에 의구심을 드러내는 여론이 여러 커뮤니티를 통해 확산하고 있다.이는 애니메이션 더빙을 유명 연예인보다 전문 성우에게 맡겨야 한다는 원론적인 주장에 ‘인어공주’ 기획부터 쏟아지는 비난들이 더해진 것 때문으로 보인다. 한국에선 유명 연예인들이 애니메이션 더빙을 하는 데 대해 일부 관객들의 거부감이 유독 크다. 실제로 일본 애니메이션 ‘너의 이름은.’은 2017년 개봉 당시 한국어 더빙을 배우 지창욱, 김소현, 이레 등이 맡았지만 애니 팬들의 혹독한 비난에 시달렸다. 이에 ‘너의 이름은.’ 수입사 미디어캐슬은 ‘스즈메의 문단속’ 흥행에 힘입어 ‘너의 이름은.’ 한국어 더빙을 오는 5월 전문 성우에 맡겨 다시 개봉하기로 했다.그랬던 터라 ‘인어공주’도 다니엘이 에리얼 역을 맡는 것에 대해, 아직 공개도 되기 전에 거부감을 드러내는 사람들이 많은 것이다.여기에 ‘인어공주’가 추구하는 PC(Political Correctness·정치적 올바름)에 대한 일부 대중의 반감도 더해져 더욱 논란이 부추겨 지고 있다. ‘인어공주’는 에리얼을 백인으로 묘사했던 원작 애니메이션과 달리 흑인인 할리 베일리가 인어공주를 맡는 것에 대해 기획부터 북미에서 논란이 뜨거웠다. 성, 인종, 종교 등을 이유로 약자와 소수자가 차별받아선 안된다는 PC가 지나칠 정도로 창작의 자유를 제한하고 있으며 심지어 역차별을 하고 있다는 반감까지 일었던 것.할리우드 메이저 스튜디오 중 특히 디즈니가 작품들에서 PC 추구를 방향점으로 내세우고 있는데다 ‘인어공주’는 그런 점에서 상징적인 작품이다보니 새로운 소식이 전해질 때마다 작은 아쉬움과 실수마저 논란으로 부채질되는 경향이 있다. 이는 한국에서도 마찬가지.지난달 28일 디즈니+에서 공개된 ‘피터팬 & 웬디’에서 팅커벨 역을 흑인 배우가 맡은 것과 넷플릭스에서 10일 공개되는 ‘퀸 클레오파트라’에서 클레오파트라 역을 흑인 배우가 맡은 것, 공교롭게도 ‘인어공주’ 개봉까지 비슷한 시점에 맞춰지면서 PC논란은 더욱 거세지고 있다.아직 공개되지도 않은 다니엘의 에리얼 목소리 더빙 연기에 대한 논란은, 이런 ‘인어공주’에 대한 반감 흐름이 더해지면서 부채질된 경향이 없지 않다.익명을 요구한 한 관계자는 “’인어공주’에 대한 거부감이라기 보다는 PC가 싫고, PC가 추구하는 바를 억울하게 여기는 사람들의 반발이 반영되고 있는 것 같다”면서 “작품을 보고 온당한 평가가 이뤄졌으면 좋겠다”고 토로했다.넷플릭스 시리즈 ‘브리저튼’이 공개되기 전, PC에 반대하는 사람들은 영국 여왕을 흑인 배우가 연기한 것에 거세게 반발했다. ‘브리저튼’이 공개된 뒤 빼어난 재미와 완성도로 넷플릭스 최고 인기작으로 떠오르자 그런 반발은 쏙 들어갔다.‘인어공주’도 그런 전철을 밟을 수 있을지, 다니엘의 목소리 연기는 어떨지, 5월 극장가의 흥미로운 관전 포인트가 될 전망이다.전형화 기자 brofire@edaily.co.kr",https://isplus.com/article/view/isp202305030069,"인어공주,에리얼,더빙,다니엘,한국어"
"뉴진스 '하이프 보이', 스포티파이 3억 스트리밍 돌파","'디토', 日 오리콘 주간 스트리밍 1억회 달성…해외 여가수 최단 기록뉴진스 '하이프 보이' [어도어 제공. 재판매 및 DB 금지](서울=연합뉴스) 임지우 기자 = 그룹 뉴진스의 '하이프 보이'(Hype boy)가 세계 최대 음원 플랫폼 스포티파이에서 누적 재생 수 3억회를 돌파했다.기획사 어도어는 뉴진스의 데뷔곡 '하이프 보이'가 지난 1일(미국 현지 시간) 기준 3억10만390회 재생됐다고 3일 밝혔다.이는 '디토', 'OMG'에 이어 뉴진스의 세 번째 3억 스트리밍 곡이다.광고이날 발표된 일본 오리콘 주간 스트리밍 차트에서는 뉴진스의 '디토'가 누적 재생 수 1억회를 달성했다.이는 지난해 12월 곡이 공개된 지 19주 만으로, 해외 여성 아티스트 곡 중 최단 기간이다.뉴진스는 8월 일본 최대 규모 음악 축제인 '서머 소닉 2023'에도 출연할 예정이다.제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포 금지>",https://www.yna.co.kr/view/AKR20230503076900005?input=1195m,"뉴진스,디토,스트리밍,이프,보이"
뉴진스 다니엘 '인어공주' 더빙 소식에…기대반 우려반,"인어공주 더빙 뉴진스 다니엘로 유추""기대"" vs ""우려"" 네티즌 의견 갈려…걸그룹 뉴진스의 멤버 다니엘이 영화 '인어공주' 한국판에서 주인공 '에리얼' 역의 더빙을 맡는다는 소식이 전해져 화제다.지난 2일 디즈니코리아 사회관계망서비스(SNS)에는 실루엣과 함께 한국의 '에리얼' 더빙을 맡은 사람이 누군지 유추해달라는 이벤트 글이 게시됐다. 곧 네티즌들 사이에서는 해당 실루엣의 주인공이 뉴진스의 다니엘이라는 추측이 일었고 이에 다양한 반응이 나타났다.다니엘의 더빙 참여를 긍정적으로 보는 이들도 있었다. 다니엘이 인어공주의 느낌을 잘 살릴 수 있는 음색을 가졌기 때문에 노래하는 장면이 기대된다는 것이다.또 더빙판의 경우 자막판과 비교해 아동 관객이 많은데, 뉴진스가 어린 아이들 사이에서도 큰 인기를 끌고 있기 때문에 영화 흥행에도 도움이 될 것이라는 반응도 있었다.반면 티켓파워만을 위해 아이돌을 섭외한 것이 아니냐는 비판의 목소리도 나오고 있다. 더빙에는 많은 연습과 훈련이 필요한데 성우 경험이 전무한 아이돌이 더빙하는 것이 우려된다는 것이다.영화 '겨울왕국'처럼 연기 장면에는 성우를 캐스팅하고 다니엘은 OST에만 참여했더라면 더 좋았을 것이라는 의견도 있었다.앞서 영화 '너의 이름은' 더빙판 개봉 당시에도 비슷한 논란이 나타난 바 있다. 영화 수입사 측에서 성우들이 참여하는 대규모 오디션을 열 것이라고 예고했지만 오디션은 하지 않고 주인공 역에 유명 배우들을 캐스팅해 문제가 된 것이다.당시 성우들도 ""성우는 결코 쉬운 분야가 아니다""라며 비판의 목소리를 내 논란이 커지며 영화는 관객몰이에 실패했다.반면 비성우 더빙임에도 흥행한 작품들도 있다. 코미디언이자 배우인 정준하가 맡은 '주먹왕 랄프'의 '랄프' 역 더빙은 대중들로부터 많은 호평을 얻었다.한편 디즈니 실사 영화 '인어공주'는 오는 26일 국내 개봉 예정이다.한지수 인턴기자 hjs17450@asiae.co.kr",https://view.asiae.co.kr/article/2023050310504679667,"더빙,영화,다니엘,성우,인어공주"
"‘뉴진스 프로듀서’ 250, 7월 단독공연... 세종문화회관에 흐르는 뽕짝",,https://www.chosun.com/culture-life/culture_general/2023/05/03/FSOS56IMBZGG7HBHETT77DXLUM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,
"뉴진스 '디토', 日 오리콘 1억 스밍…해외 아티스트 최단 기간","1황철순, 주가조작 가담 의혹 부인…""난 주식 모르는 똥멍청이""예능 프로그램에 출연해 얼굴을 알린 헬스 트레이너 황철순이 주가 조작 가담 의혹을 부인했다. 3일 황철순은 자신의 인스타그램에 ""3일 전부터 많은 기자분께서 (헬스장을) 뚫고 들어오신다""며 ""나는 주식도 모르는 똥멍청이이며 투자 제안도 받아본 적이 없으며 아직 피해 사실이 확인된 바 없다""고 적었다. ""운동과 관련되지 않은 부분에 대해서는 어떤 말씀이나 책임 있는 설명을 해드릴 수 없는 위치라는 것을 이해해 주시기 바란다""며 ""그렇게 많은 인터뷰를 해도 기사 한 토막 안 나간 이유는 내 얘기가 영양가가 없다는 얘기""라고",http://www.newsis.com/view/?id=NISX20230503_0002289464&cID=10601&pID=10600,"황철순,가담,의혹,부인,주식"
"방탄소년단 → 뉴진스, 하이브家 기록 행진 [이슈&톡]","방탄소년단 → 뉴진스, 하이브家 기록 행진 [이슈&톡] 2023. 05.03(수) 10:38맏형 진의 군 복무를 필두로 '군백기'(군 복무로 인한 공백기)에 접어든 그룹 방탄소년단(BTS)는 솔로 활동으로도 다양한 기록들을 써내려가고 있다.특히 멤버 슈가는 첫 솔로 앨범 '디-데이(D-DAY)'로 미국 빌보드 메인 앨범차트 '빌보드 200'에서 K팝 솔로 가수 최고 성적을 냈다.1일(현지시간) 빌보드가 홈페이지에 게재한 6일자 차트 예고 기사에 따르면, 슈가가 어거스트 디(Agust D)라는 솔로 활동명으로 지난달 21일 발매한 '디-데이'는 14만장 상당의 판매량으로 '빌보드 200'에서 2위로 데뷔했다.이는 역시 방탄소년단 멤버인 지민이 지난달 8일 자 '빌보드 200'에서 첫 솔로 앨범 '페이스(FACE)'로 거둔 성적과 같은 기록이자, K팝 솔로 가수 중 가장 높은 성적이다. 지민 전에는 방탄소년단의 RM이 '인디고(Indigo)'로 3위에 오른 바 있다.미니 10집 'FML'로 역대급 기록을 내고 있는 그룹 세븐틴(SVT)은 일본 차트 접수 소식을 전했다.2일 오리콘 차트에 따르면, 세븐틴의 미니 10집 'FML'은 첫 주에 55만2000장 이상의 판매량을 기록하며 일본 오리콘 주간 앨범 랭킹(5월 8일 자, 집계기간 4월 24~30일)에서 1위에 올랐다.이로써 세븐틴은 오리콘 주간 앨범 랭킹에서 미니 9집 '아타카(Attacca)', 정규 4집 '페이스 더 선(Face the Sun)', 정규 4집 리패키지 앨범 '섹터(SECTOR) 17', 일본 첫 번째 EP '드림(DREAM)'에 이어 5개 작품 연속 정상에 올랐다. 통산으로 따지면 9번째다.'FML'은 앞서 일본 오리콘 데일리 앨범 랭킹(4월 25~29일 자)에서 5일 연속 1위 자리를 지켰다. 주요 음원 사이트 라인뮤직, AWA 등에서도 1위를 기록했다.세븐틴은 'FML'로 음반 판매량 면에서 다양한 기록을 쓰고 있다. 첫날에만 판매량 300만 장을 넘겼는데, 이는 전 세계에서 유일한 기록이다. 'FML'은 초동 판매량(발매 후 일주일간 음반 판매량) 455만 214장으로 K팝 음반 역대 초동 판매량 최고 기록도 다시 세웠다.그룹 르세라핌(LE SSERAFIM)의 성장세도 무섭다.3일 앨범 판매량 집계 사이트 한터차트에 따르면, 르세라핌(김채원, 사쿠라, 허윤진, 카즈하, 홍은채)의 정규 1집 '언포기븐'(UNFORGIVEN)은 발매 당일 102만4034장 판매되면서 일간 음반 차트(5월 2일 자) 정상을 차지했는데, 이는 역대 K팝 걸그룹의 발매 1일 차 판매량 1위에 해당하는 기록이다.K팝 걸그룹이 발매 당일 음반 판매량 100만장을 넘긴 건 선배 그룹 블랙핑크가 지난해 정규 2집 '본 핑크'로 세운 101만장 이후 처음인데, 르세라핌은 블랙핑크 '본 핑크'보다 1만장을 더 팔며 이 부문에서 정상에 올랐다.이번 기록은 또한 지난해 10월 나온 '안티프래자일'(ANTIFRAGILE)의 첫날 판매량인 40만8833장과 비교했을 때 2배 이상 성장한 수치이다. 또한, 전작의 일주일 동안의 판매량인 56만7673장을 단 하루 만에 넘어서 놀라움을 줬다.뉴진스(NewJeans) 역시 히트곡으로 새 기록들을 써가고 있다.‘Hype boy’가 세계 최대 음원 플랫폼 스포티파이에서 3억 스트리밍을 돌파했다. 'Ditto', 'OMG'에 이은 뉴진스 통산 세 번째 3억 스트리밍 곡이다.3일 스포티파이에 따르면 뉴진스의 데뷔곡 '하입 보이(Hype boy)'는 지난 1일(현지 시간) 기준 3억10만390회 재생됐다. '디토'(Ditto)와 '오엠지'(OMG)에 이은 뉴진스 통산 세 번째 3억 스트리밍 곡이다.오리콘 차트에서도 두각을 나타냈는데,3일 오리콘이 발표한 주간 스트리밍 랭킹(5월 8일자)에 따르면 뉴진스의 '디토'는 누적 재생수 1억 회를 돌파했다. 지난해 12월 19일 공개된 지 19주 만으로 이는 오리콘 차트에서 1억 회 넘게 스트리밍된 해외 여성 아티스트의 곡 가운데 최단 기간 신기록이다. 해외 남,녀 아티스트 통틀어서는 역대 4위다.한편 뉴진스는 지난 1일 미국 골드하우스가 발표한 2023년 'A100' 리스트에도 이름을 올렸다. ‘A100’은 매년 미국 문화와 사회에 큰 영향을 끼친 아시아-태평양 지역 100인을 선정해 발표하는 명단인데, K팝 아티스트 중에선 뉴진스가 유일하게 이 리스트에 포함됐다.[티브이데일리 김지하 기자 news@tvdaily.co.kr/사진=빅히트뮤직, 플레디스, 쏘스뮤직, 어도] [티브이데일리 김지하 기자] 하이브에서 한솥밥을 먹고 있는 아이돌 그룹들이 국내외 시장에서 각종 기록을 고쳐 쓰고 있다.맏형 진의 군 복무를 필두로 '군백기'(군 복무로 인한 공백기)에 접어든 그룹 방탄소년단(BTS)는 솔로 활동으로도 다양한 기록들을 써내려가고 있다.특히 멤버 슈가는 첫 솔로 앨범 '디-데이(D-DAY)'로 미국 빌보드 메인 앨범차트 '빌보드 200'에서 K팝 솔로 가수 최고 성적을 냈다.1일(현지시간) 빌보드가 홈페이지에 게재한 6일자 차트 예고 기사에 따르면, 슈가가 어거스트 디(Agust D)라는 솔로 활동명으로 지난달 21일 발매한 '디-데이'는 14만장 상당의 판매량으로 '빌보드 200'에서 2위로 데뷔했다.이는 역시 방탄소년단 멤버인 지민이 지난달 8일 자 '빌보드 200'에서 첫 솔로 앨범 '페이스(FACE)'로 거둔 성적과 같은 기록이자, K팝 솔로 가수 중 가장 높은 성적이다. 지민 전에는 방탄소년단의 RM이 '인디고(Indigo)'로 3위에 오른 바 있다.미니 10집 'FML'로 역대급 기록을 내고 있는 그룹 세븐틴(SVT)은 일본 차트 접수 소식을 전했다.2일 오리콘 차트에 따르면, 세븐틴의 미니 10집 'FML'은 첫 주에 55만2000장 이상의 판매량을 기록하며 일본 오리콘 주간 앨범 랭킹(5월 8일 자, 집계기간 4월 24~30일)에서 1위에 올랐다.이로써 세븐틴은 오리콘 주간 앨범 랭킹에서 미니 9집 '아타카(Attacca)', 정규 4집 '페이스 더 선(Face the Sun)', 정규 4집 리패키지 앨범 '섹터(SECTOR) 17', 일본 첫 번째 EP '드림(DREAM)'에 이어 5개 작품 연속 정상에 올랐다. 통산으로 따지면 9번째다.'FML'은 앞서 일본 오리콘 데일리 앨범 랭킹(4월 25~29일 자)에서 5일 연속 1위 자리를 지켰다. 주요 음원 사이트 라인뮤직, AWA 등에서도 1위를 기록했다.세븐틴은 'FML'로 음반 판매량 면에서 다양한 기록을 쓰고 있다. 첫날에만 판매량 300만 장을 넘겼는데, 이는 전 세계에서 유일한 기록이다. 'FML'은 초동 판매량(발매 후 일주일간 음반 판매량) 455만 214장으로 K팝 음반 역대 초동 판매량 최고 기록도 다시 세웠다.그룹 르세라핌(LE SSERAFIM)의 성장세도 무섭다.3일 앨범 판매량 집계 사이트 한터차트에 따르면, 르세라핌(김채원, 사쿠라, 허윤진, 카즈하, 홍은채)의 정규 1집 '언포기븐'(UNFORGIVEN)은 발매 당일 102만4034장 판매되면서 일간 음반 차트(5월 2일 자) 정상을 차지했는데, 이는 역대 K팝 걸그룹의 발매 1일 차 판매량 1위에 해당하는 기록이다.K팝 걸그룹이 발매 당일 음반 판매량 100만장을 넘긴 건 선배 그룹 블랙핑크가 지난해 정규 2집 '본 핑크'로 세운 101만장 이후 처음인데, 르세라핌은 블랙핑크 '본 핑크'보다 1만장을 더 팔며 이 부문에서 정상에 올랐다.이번 기록은 또한 지난해 10월 나온 '안티프래자일'(ANTIFRAGILE)의 첫날 판매량인 40만8833장과 비교했을 때 2배 이상 성장한 수치이다. 또한, 전작의 일주일 동안의 판매량인 56만7673장을 단 하루 만에 넘어서 놀라움을 줬다.뉴진스(NewJeans) 역시 히트곡으로 새 기록들을 써가고 있다.‘Hype boy’가 세계 최대 음원 플랫폼 스포티파이에서 3억 스트리밍을 돌파했다. 'Ditto', 'OMG'에 이은 뉴진스 통산 세 번째 3억 스트리밍 곡이다.3일 스포티파이에 따르면 뉴진스의 데뷔곡 '하입 보이(Hype boy)'는 지난 1일(현지 시간) 기준 3억10만390회 재생됐다. '디토'(Ditto)와 '오엠지'(OMG)에 이은 뉴진스 통산 세 번째 3억 스트리밍 곡이다.오리콘 차트에서도 두각을 나타냈는데,3일 오리콘이 발표한 주간 스트리밍 랭킹(5월 8일자)에 따르면 뉴진스의 '디토'는 누적 재생수 1억 회를 돌파했다. 지난해 12월 19일 공개된 지 19주 만으로 이는 오리콘 차트에서 1억 회 넘게 스트리밍된 해외 여성 아티스트의 곡 가운데 최단 기간 신기록이다. 해외 남,녀 아티스트 통틀어서는 역대 4위다.한편 뉴진스는 지난 1일 미국 골드하우스가 발표한 2023년 'A100' 리스트에도 이름을 올렸다. ‘A100’은 매년 미국 문화와 사회에 큰 영향을 끼친 아시아-태평양 지역 100인을 선정해 발표하는 명단인데, K팝 아티스트 중에선 뉴진스가 유일하게 이 리스트에 포함됐다.[티브이데일리 김지하 기자 news@tvdaily.co.kr/사진=빅히트뮤직, 플레디스, 쏘스뮤직, 어도] 기사제보 news@tvdaily.co.kr 김지하 기자의 다른 기사 보기 키워드 : 뉴진스 | 방탄소년단 | 세븐틴 뉴진스 'Ditto', 日 오리콘 누적 스트리밍 1억 회 돌파 뉴진스 ‘Hype boy’, 스포티파이 3억 스트리밍 돌파 ""노 아이폰, 온리 갤럭시"" BTS 슈가, 美 공연 중 삼성 사랑 세븐틴 승관, 故 문빈 추모 ""거기선 그냥 아무나 돼""",http://www.tvdaily.co.kr/read.php3?aid=16830779201674041010,"기록,판매량,뉴진스,오리콘,앨범"
,,https://www.hani.co.kr/arti/culture/music/1090435.html,
"‘뉴진스의 아버지’ 250의 첫 단독공연, 싱크 넥스트에 뜬다-국민일보","지난해 음반 ‘뽕’으로 한국대중음악상을 휩쓴 프로듀서 겸 작곡가 250(왼쪽)과 여성 스트리트 댄서 그룹 프라우드먼의 리더 모니카는 올해 세종문화회관의 싱크 넥스트에 참여한다. 세종문화회관3일 세종문화회관 S씨어터에서 열린 ‘싱크 넥스트’ 기자간담회에 아티스트들이 모여 있다. 세종문화회관지난 3월 열린 제20회 한국대중음악상의 주인공은 DJ, 프로듀서 그리고 작곡가인 250(이오공·본명 이호형)이었다. 250은 트로트를 기본으로 한 일렉트로닉 음반 ‘뽕’으로 올해의 음반, 올해의 음악인 등 4개 부문에서 수상했다. 이로써 250은 한국대중음악상 20년 역사상 단 2차례밖에 없었던 한 해 최다 수상 타이기록을 보유하게 됐으며, ‘뽕’은 일렉트로닉 장르 최초의 올해의 음반 수상작이 됐다. 250은 걸그룹 뉴진스의 첫 앨범 메인 프로듀서이자 ‘하입 보이’ ‘어텐션’ ‘디토’ 등을 작곡했는데 뉴진스 역시 올해의 신인, 최우수 K팝 음반, 최우수 K팝 노래 등 3개 부문에서 수상했다.250이 음반 발매 후 첫 단독 공연을 연다. 세종문화회관이 예술적 실험과 도전, 동시대성을 표방하며 지난해 여름 시작한 ‘싱크 넥스트’를 통해서다. 올해 ‘싱크 넥스트’는 7월 6일부터 9월 10일까지 67일간 S씨어터에서 12편이 33회 열린다. 250의 무대는 7월 15일 ‘아직도 모르시나요’라는 제목으로 공연한다. 3일 세종문화회관 S씨어터에서 열린 ‘싱크 넥스트’ 기자간담회에 참석한 250은 “앨범 ‘뽕’의 감성을 흠뻑 느낄 수 있는 무대가 될 것”이라며 “콜라텍이나 무도장 같은 분위기의 공연을 생각하고 있다”고 밝혔다.이번 ‘싱크 넥스트’에는 250 이외에도 다양한 장르의 예술가들이 대거 참여한다. 여성 스트리트 댄서 그룹 프라우드먼의 리더 모니카와 프로듀서 겸 보컬리스트 시피카(CIFIKA)는 퍼포먼스 ‘쓰인 적 없는 ㅅ(시옷)’(8월 18~20일)을, 얼터너티브 팝 밴드 이날치는 새 멤버 영입 후 처음 선보이는 앨범의 라이브 무대(8월 3~5일)를 선보인다. 싱어송라이터이자 영화감독인 이랑과 안무가 겸 배우 모어는 낭독과 음악, 퍼포먼스, 시 등으로 구성된 ‘왜 내가 너의 친구라고 말하지 않는 것인가’(8월 8일)를, 디자이너이자 연출가인 정구호와 안무가 김성훈은 학교 폭력을 다룬 창작 무용 ‘그리멘토’(9월 7~10일)를 꾸민다.이밖에 안무가 김재덕이 6명의 안무가와 함께 펼치는 ‘몸으로 몸한다’(7월 6~8일), 극단 ‘코끼리들이 웃는다’의 관객 참여형 공연 ‘물질’(7월 20∼23일), R&B 싱어송라이터 서사무엘과 수화 아티스트 지후트리의 ‘그러면 사랑 얘기는 누가 하지’(7월 28~30일), 인디밴드 너드커넥션과 미디어 아티스트 현지원의 ‘테라리움’(8월 12∼13일), ‘잠비나이’ 멤버 이일우와 서울시국악관현악단 단원들이 함께하는 ‘광광, 굉굉’(8월 15일), 리서치그룹 궁리소 묻다의 ‘우주 양자 마음’도 눈에 띈다. 가수이자 배우인 ‘전방위 예술가’ 백현진은 실험극 ‘백현진 쑈: 공개방송’(9월 1∼3일)을 선보인다.안호상 세종문화회관 사장은 “세종문화회관의 활동들이 우리 사회가 요구하는 복잡성에 비해 너무 단조롭지 않았나 생각한다”면서 “‘싱크 넥스트’는 대중이 기대하는 예술활동, 예술가들의 다양한 관점과 고민을 담아보고자 한다”고 취지를 밝혔다.장지영 선임기자 jyjang@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr) , 무단전재 및 수집, 재배포금지",https://news.kmib.co.kr/article/view.asp?arcid=0018227034&code=61171211&cp=nv,"세종,문화,회관,싱크,넥스트"
"뉴진스, 日오리콘 해외 女가수 최단 1억 스트리밍 [연예뉴스 HOT]",걸그룹 뉴진스가 일본 오리콘 차트에서 해외 여성 가수 중 가장 빠른 속도로 1억 스트리밍을 달성했다. 3일 오리콘이 발표한 주간 스트리밍 랭킹(5월8일자)에 따르면 뉴진스가 지난해 12월 19일 공개한 노래 ‘디토’는 19주 만에 누적 재생수 1억 회를 돌파했다. 소속사 어도어는 “오리콘 차트에서 1억 회 넘게 스트리밍된 해외 여성 아티스트의 곡 가운데 최단 기간 신기록”이라면서 “해외 남녀 아티스트 통틀어서는 역대 4위”라고 설명했다. 뉴진스는 ‘디토’가 실린 싱글 ‘OMG’로 올해 1월 오리콘 주간 합산 싱글 랭킹에서 두 차례 정상을 차지했다.이승미 기자 smlee@donga.com,https://sports.donga.com/article/all/20230503/119131065/1,"오리콘,뉴진스,해외,스트리밍,차트"
"송혜교·수지·뉴진스…히메컷, 왜 다시 유행인가","1황철순, 주가조작 가담 의혹 부인…""난 주식 모르는 똥멍청이""예능 프로그램에 출연해 얼굴을 알린 헬스 트레이너 황철순이 주가 조작 가담 의혹을 부인했다. 3일 황철순은 자신의 인스타그램에 ""3일 전부터 많은 기자분께서 (헬스장을) 뚫고 들어오신다""며 ""나는 주식도 모르는 똥멍청이이며 투자 제안도 받아본 적이 없으며 아직 피해 사실이 확인된 바 없다""고 적었다. ""운동과 관련되지 않은 부분에 대해서는 어떤 말씀이나 책임 있는 설명을 해드릴 수 없는 위치라는 것을 이해해 주시기 바란다""며 ""그렇게 많은 인터뷰를 해도 기사 한 토막 안 나간 이유는 내 얘기가 영양가가 없다는 얘기""라고",http://www.newsis.com/view/?id=NISX20230503_0002290388&cID=10601&pID=10600,"황철순,가담,의혹,부인,주식"
